Name,Tags,grounding source,links,Percentage,Tasks
Personal Assistant,"apps, calender, emails, maps, messaging, ordering food, planning, transportation",None,,,
Devops,"deployment, dockerize, microservice, monitoring, networking, scaling","docker sdk, kubernetes sdk, prometheus sdk","https://docker-py.readthedocs.io/en/stable/

https://github.com/kubernetes-client/python

https://github.com/prometheus/client_python",,
Algorithmic Trading,"CEX, DEX, FX, NASDAQ, crypto","matplotlib, numpy, pandas, quantlib, scikit-learn, scipy, statsmodels",https://pypi.org/project/QuantLib/https://pypi.org/project/statsmodels/,,
Finance payments,"Bookkeeping, Mercury, Mollie, OpenBanking, Payment systems, Revolut, Stripe, Venmo","openbanking api, revolut docs, stripe docs, venmo docs","https://docs.stripe.com/api?lang=python

https://developer.revolut.com/docs/business/business-api

https://pypi.org/project/openbankingapi/

https://venmo.readthedocs.io/en/latest/",,https://developer.revolut.com/docs/open-banking/open-banking-api
Machine Learning Engineering,"finetuning, serving, training","huggingface TRL, pytorch","https://huggingface.co/docs/trl/index

https://pytorch.org/tutorials/beginner/introyt/trainingyt.html",,
Blockchain operations with wallet,"Blockexplorer-first Assistant, EVM","foundry, web3py","https://docs.chainstack.com/reference/blockchain-apis

https://web3py.readthedocs.io/en/stable/",,"
• Blockexplorer-first Assistant: help me understand what Im seeing in a blockexplorer (etherscan / blockscout, EVM compatible)
    ◦ look at the inner txs within a transaction, and summarize what is happening e.g. ""user 0xabc..123 has traded 1 ETH for 10 PEPE from the pool at 0xbbb...ccc""
    ◦ describe contract logic in verified contracts by looking at the contract code
    ◦ write Foundry scripts with respect to the given contract, based on user requests, e.g. ""help me replicate what happens in this tx that we are looking at"" / ""help me call foo() 5 times while taking a flash loan in between""
• Defi Helper: AI should have a general knowledge & technical understanding, help automating Foundry scripts for things like lending / borrowing / staking / lquidity-providing / swapping / arbitraging; help write local tests & simulations (EVM compatible)
• Trading Bot: look at a set of twitter posts / telegram messages and Whale wallet transactions, find the next gem & automate trading them via function calling (Solana?)"
APIs in general,"CURL, GRAPHQL, REST",,,,
SaaS,"Asana, Google Workspace, Microsoft 365, Salesforce, Shopify, Slack, Trello, Zapier, Zendesk",same as tags,"https://tools.slack.dev/python-slack-sdk/

https://github.com/fprimex/zdesk

https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/intro_rest.htm

https://shopify.dev/docs/api

https://developers.asana.com/

https://developer.atlassian.com/cloud/trello/rest/api-group-actions/#api-actions-id-get",,
Developer Tools,"configure aws infra, deploy vercel, github repos, integrate to cloud","aws, azure, gcp, github, vercel","https://pygithub.readthedocs.io/en/stable/

https://vercel.com/docs/rest-api",,
e-commerce,integrate to klarna,"instacart, klarna, wish","https://docs.klarna.com/api/introduction/

https://docs.instacart.com/developer_platform_api/

https://merchant.wish.com/documentation/api/explorer/image",,"	•	Integrate Klarna checkout
•	Sync Instacart product catalog
•	Implement Wish order retrieval
•	Handle payments and refunds
•	Automate product listing updates"
Information Extraction,"CSV, HTML, PDF, Text file, XLSX",,,,
Cybersecurity,"pentest, sniffing",,"https://github.com/PacktPublishing/Python-Penetration-Testing-Cookbook

https://scapy.net/",,
Data Science,"data-preprocessing, pandas, sklearn",,,,
Data Processing,python,,,,
Databases,"DuckDB, MongoDB, Postgre, Redis, RocksDB, SQL, VectorDBs, pgvector",,,,- write queries for user query
"Operating System Functions ","bash, zsh",,,,
Consumer Discretionary Software,"Ads, Amazon, CRM, conversions",,,,
